text,label
"Government health department launches a new vaccination drive in district hospitals from Monday with free registration for all citizens.",real
"State transport minister inaugurated a public bus service connecting rural villages to the city after a six month pilot project.",real
"University announces semester examination schedule and releases hall ticket instructions on the official student portal.",real
"Local municipal corporation starts rainwater harvesting awareness campaign across schools and public offices this summer.",real
"National weather center reports heavy rainfall alert for coastal regions and advises fishermen not to enter the sea.",real
"Railway department introduces special holiday trains between Chennai and Hyderabad to manage festival travel demand.",real
"Public sector bank reduces education loan processing fees for students applying before the new academic year begins.",real
"District collector opens a skill development center for diploma students focused on robotics electronics and coding.",real
"Election commission publishes final polling booth list and voter assistance helpline number on its website.",real
"Health ministry confirms a seasonal flu advisory and asks senior citizens to visit nearby clinics if symptoms persist.",real
"Engineering college hosts an innovation expo where final year students present smart agriculture and safety projects.",real
"Water supply board begins pipeline repair work in the old city and announces scheduled service interruption timings.",real
"Police department launches a cyber safety workshop to educate teenagers about online scams and identity theft.",real
"Agriculture university researchers release a report on crop disease prevention methods for tomato and cotton farmers.",real
"State education board announces scholarship applications for economically weaker students through the online portal.",real
"Airport authority opens a new domestic terminal security lane to reduce passenger waiting time during peak hours.",real
"City corporation plants ten thousand saplings under an urban green mission near roads schools and parks.",real
"Power utility company schedules maintenance in selected neighborhoods and advises residents about temporary outages.",real
"Official census report shows increased literacy rate in the district over the last five years.",real
"Science museum starts a week long exhibition on artificial intelligence machine learning and student innovation.",real
"Breaking secret law says drinking two cups of petrol daily cures diabetes within three days doctors shocked.",fake
"Celebrity announces the moon will come closer to earth tonight and people can touch it from terraces.",fake
"Unverified social media post claims all schools in India will remain closed for six months without any government order.",fake
"Fake website says every bank account holder will receive ten lakh rupees by midnight after clicking a secret form.",fake
"Message going viral says eating raw garlic every hour permanently removes all viruses from the human body.",fake
"Anonymous source claims national exam results were decided by astrology and not by student performance.",fake
"Forwarded article says plastic rice is being sold in every market and can jump like rubber when cooked.",fake
"Viral post says the sun will not rise tomorrow because scientists switched off the atmosphere for repairs.",fake
"Unknown blog claims drinking bleach mixed with lemon can improve memory and cure serious diseases instantly.",fake
"Social media rumor says every mobile tower spreads mind control waves only at midnight during weekends.",fake
"Fabricated report claims government will delete all old degree certificates and issue new ones only through one app.",fake
"Hoax news says a hidden button on ATMs gives free cash if pressed five times quickly.",fake
"Clickbait article says all job interviews next month are cancelled because robots will recruit candidates automatically.",fake
"Baseless claim says one common kitchen spice can grow lost teeth again within seven days.",fake
"Rumor says a secret foreign machine controls Indian weather and creates rain only during cricket matches.",fake
"Unreliable website says famous actor became invisible after using a new skin cream promoted online.",fake
"Viral message claims students can pass any exam by writing a magic code on the first page.",fake
"False article says internet will be permanently shut down every night across the country from next week.",fake
"Hoax social media update says police can read every deleted message immediately through mobile torchlight sensors.",fake
"Made up report says all hospitals will stop using doctors and treat patients only with horoscope based machines.",fake
